resourceGroup,resourceType,policyDefinitionReferenceId,policyDefinitionId,ResourceName
rgrp-lta-bmms-uat-03,Microsoft.Web/sites,managedidentityshouldbeusedinyourfunctionappmonitoringeffect,/providers/microsoft.authorization/policydefinitions/0da106f2-4ca3-48e8-bc85-c638fe6aea8f,fapython-lta-bmms-uat-ocp4-x0f48
rgrp-lta-bmms-uat-03,Microsoft.Web/sites,latesttlsversionshouldbeusedinyourfunctionappmonitoringeffect,/providers/microsoft.authorization/policydefinitions/f9d614c5-c173-4d56-95a7-b4437057d193,fapython-lta-bmms-uat-ocp4-x0f48
rgrp-lta-bmms-uat-deployment,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,saciscompliancereport
rgrp-lta-bmms-uat-05,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,imageregistryocp4x07hpls
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,bmmsdevsa1
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,imageregistrybmmsdepvr26
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,imageregistrybmmsslpn55g
rgrp-lta-bmms-uat-deployment,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,saciscompliancereport
rgrp-lta-bmms-uat-deployment,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,saciscompliancereport
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,bmmsslssa
rgrp-lta-bmms-uat-05,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,sal6cn7ltabmmsuat01
rgrp-lta-bmms-uat-05,Microsoft.Storage/storageAccounts,storagedisallowpublicaccess,/providers/microsoft.authorization/policydefinitions/4fa4b6c0-31ca-4c0d-b10d-24b96f62a751,sal6cn7ltabmmsuat01
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountshoulduseaprivatelinkconnectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/6edd7eda-6dd8-40f7-810d-67160c639cd9,f7a18617bf1874832804760
rgrp-lta-bmms-uat-05,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,imageregistryocp4x07hpls
rgrp-lta-bmms-uat-05,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,imageregistryocp4x07hpls
rgrp-lta-bmms-uat-03,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,safaltabmmsuatocp4x0f48
rgrp-lta-bmms-uat-03,Microsoft.Storage/storageAccounts,storagedisallowpublicaccess,/providers/microsoft.authorization/policydefinitions/4fa4b6c0-31ca-4c0d-b10d-24b96f62a751,safaltabmmsuatocp4x0f48
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,imageregistrybmmsslpn55g
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,imageregistrybmmsslpn55g
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,bmmsslssa
bmmssls-kg9p7-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,bmmsslssa
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,imageregistrybmmsdepvr26
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,imageregistrybmmsdepvr26
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,f7a18617bf1874832804760
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,securetransfertostorageaccountmonitoring,/providers/microsoft.authorization/policydefinitions/404c3081-a854-4457-ae30-26a93ef643f9,f7a18617bf1874832804760
,Microsoft.Resources/subscriptions,subscriptionsshouldhaveacontactemailaddressforsecurityissuesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/4f4f78b8-e367-4b10-a341-d9a4ad5cf1c7,220b7d6b-779f-47ec-b306-499ebfdf2dbe
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,bmmsfileshared
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,bmmsfileshared
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storagedisallowpublicaccess,/providers/microsoft.authorization/policydefinitions/4fa4b6c0-31ca-4c0d-b10d-24b96f62a751,bmmsfileshared
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldpreventsharedkeyaccess,/providers/microsoft.authorization/policydefinitions/8c6a50c6-9ffd-4ae7-986f-5fa6111f9a54,bmmsdevsa1
bmmsdev-8smr2-rg,Microsoft.Storage/storageAccounts,storageaccountsshouldrestrictnetworkaccessusingvirtualnetworkrulesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,bmmsdevsa1
